path,scientific,tier,lat,lon,taken_at,source,kind
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02897.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:44-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02898.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:44-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02899.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:44-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02900.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:46-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02901.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:47-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02902.ARW,Buteo jamaicensis,own,,,2025-12-24T16:41:47-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02903.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:06-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02904.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:06-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02905.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02906.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02907.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02908.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:09-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02909.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:09-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02910.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:10-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02911.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:10-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02912.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:11-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02913.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:11-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02914.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:11-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02915.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:11-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02916.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02917.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02918.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02919.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02920.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:16-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02921.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:23-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02922.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:23-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02923.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:24-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02924.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:26-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02925.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:26-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02926.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:26-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02927.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:32-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02928.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:32-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02929.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:32-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02930.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:35-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02931.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:35-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02932.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:35-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02933.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:35-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02934.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:38-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02935.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:38-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02936-Enhanced-NR.dng,Buteo jamaicensis,own,,,2025-12-24T16:42:39-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02936.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:39-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02937.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:40-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02938.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:40-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02939.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:40-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02940.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:41-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02941.ARW,Buteo jamaicensis,own,,,2025-12-24T16:42:41-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02942.ARW,Buteo jamaicensis,own,,,2025-12-24T16:48:42-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02943.ARW,Buteo jamaicensis,own,,,2025-12-24T16:48:42-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02944.ARW,Buteo jamaicensis,own,,,2025-12-24T16:48:42-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02945.ARW,Buteo jamaicensis,own,,,2025-12-24T16:48:57-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02946.ARW,Buteo jamaicensis,own,,,2025-12-24T16:48:57-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02947.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:00-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02948.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:01-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02949.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:04-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02950.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:04-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02951.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02952.ARW,Buteo jamaicensis,own,,,2025-12-24T16:49:15-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02953.ARW,Buteo jamaicensis,own,,,2025-12-24T17:04:58-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02954.ARW,Buteo jamaicensis,own,,,2025-12-24T17:04:58-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02955.ARW,Buteo jamaicensis,own,,,2025-12-24T17:04:58-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02956.ARW,Buteo jamaicensis,own,,,2025-12-24T17:05:06-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02957.ARW,Buteo jamaicensis,own,,,2025-12-24T17:05:06-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02958.ARW,Buteo jamaicensis,own,,,2025-12-24T17:05:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02959.ARW,Buteo jamaicensis,own,,,2025-12-24T17:05:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02960.ARW,Buteo jamaicensis,own,,,2025-12-24T17:05:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02962.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:26-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02969.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:41-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02970.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:52-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02971.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:52-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02972.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:52-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02974.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:59-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02975.ARW,Buteo jamaicensis,own,,,2025-12-24T17:38:59-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02976.ARW,Buteo jamaicensis,own,,,2025-12-24T17:39:00-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02977.ARW,Buteo jamaicensis,own,,,2025-12-24T17:39:00-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02978.ARW,Buteo jamaicensis,own,,,2025-12-24T17:39:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02979-Enhanced-NR.dng,Buteo jamaicensis,own,,,2025-12-24T17:39:07-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02980.ARW,Buteo jamaicensis,own,,,2025-12-24T17:42:27-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02981.ARW,Buteo jamaicensis,own,,,2025-12-24T17:42:27-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02982.ARW,Buteo jamaicensis,own,,,2025-12-24T17:42:27-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02983.ARW,Buteo jamaicensis,own,,,2025-12-24T17:42:33-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02985.ARW,Buteo jamaicensis,own,,,2025-12-24T17:42:34-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02986.ARW,Buteo jamaicensis,own,,,2025-12-24T17:44:30-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02987.ARW,Buteo jamaicensis,own,,,2025-12-24T17:44:30-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02988.ARW,Buteo jamaicensis,own,,,2025-12-24T17:44:31-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Red-Tailed-Hawk/DSC02989.ARW,Buteo jamaicensis,own,,,2025-12-24T17:44:31-07:00,folder:Red-Tailed-Hawk,bird
/Volumes/Media/bird/Steller's Jay/DSC02868.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:56-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02869.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:56-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02870.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:56-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02871.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:56-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02872.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:57-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02873.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:58-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02874.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:58-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02875-Enhanced-NR.dng,Cyanocitta stelleri,own,,,2025-12-24T16:36:58-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02875.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:36:58-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02876.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:37:06-07:00,folder:Steller's Jay,bird
/Volumes/Media/bird/Steller's Jay/DSC02877.ARW,Cyanocitta stelleri,own,,,2025-12-24T16:37:06-07:00,folder:Steller's Jay,bird
