path,scientific,tier,lat,lon,taken_at,source,kind,license,attribution
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402639365_739180123.jpg,Odocoileus hemionus,inat,38.733425,-123.4876866667,2021-07-14T14:18:34-07:00,https://www.inaturalist.org/observations/402639365,mammal,cc-by-nc,"(c) greg3llis, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402617365_739134704.jpg,Odocoileus hemionus,inat,35.3266616667,-120.4932466667,2026-09-20T18:26:17-07:00,https://www.inaturalist.org/observations/402617365,mammal,cc-by-nc,"(c) Kim Pivetti, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402615996_739131489.jpg,Odocoileus hemionus,inat,37.879425,-122.264555,2026-09-22T17:57:16-07:00,https://www.inaturalist.org/observations/402615996,mammal,cc-by-nc,"(c) ncarlos30, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402601579_739102989.jpg,Odocoileus hemionus,inat,39.2038383333,-120.9542383333,2022-06-30T19:44:12-07:00,https://www.inaturalist.org/observations/402601579,mammal,cc-by-nc,"(c) jriendeau, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402591206_739081997.jpg,Odocoileus hemionus,inat,34.2931416667,-117.9980783333,2026-09-22T07:41:32-07:00,https://www.inaturalist.org/observations/402591206,mammal,cc-by-nc,"(c) Jeff Fenwick, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402546286_738992942.jpg,Odocoileus hemionus,inat,36.5508583333,-118.763725,2026-09-15T17:15:37-07:00,https://www.inaturalist.org/observations/402546286,mammal,cc-by-nc,"(c) saradlc, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402537386_738976498.jpg,Odocoileus hemionus,inat,40.7670914997,-124.139052,2026-09-22T12:14:22-07:00,https://www.inaturalist.org/observations/402537386,mammal,cc-by,"(c) Mandy Hackney, some rights reserved (CC BY)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402535472_738972607.jpg,Odocoileus hemionus,inat,35.2069987683,-120.4102110939,2026-09-21T12:25:49-07:00,https://www.inaturalist.org/observations/402535472,mammal,cc-by-nc,"(c) fern224, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402515762_738932785.jpg,Odocoileus hemionus,inat,37.8726305556,-122.2586444444,2026-09-12T23:13:00-07:00,https://www.inaturalist.org/observations/402515762,mammal,cc-by-nc,"(c) aaronlawberkeley, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402509607_738922165.jpg,Odocoileus hemionus,inat,36.9956016541,-122.059387207,2026-09-21T16:49:41-07:00,https://www.inaturalist.org/observations/402509607,mammal,cc-by-nc,"(c) Sofia Stoddard, some rights reserved (CC BY-NC)"
/Users/outman/workspace/personal/bioscan/data/inat/Odocoileus_hemionus/402492945_738888697.jpg,Odocoileus hemionus,inat,35.3283694444,-120.7455222222,2026-09-22T09:05:00-07:00,https://www.inaturalist.org/observations/402492945,mammal,cc-by-nc,"(c) Marcella Munson, some rights reserved (CC BY-NC)"
